date,plane_type,country,airline,fat,px,phase,cause
1996-11-12,Boeing 747-168B,India,Saudi Arabian Airlines,312,98,en_route,"pilot error, mid air collision"
1996-11-14,Antonov 2T,Russia,Komi Avia,14,29,initial_climb,pilot & crew error
1996-11-19,Beechcraft 1900,USA,United Express,14,29,landing,pilot error
1996-11-23,Boeing 767-260ER,Comoros,Ethiopian Airlines,125,66,approach,hijack
1996-11-30,DHC-6 Twin Otter 300,Colombia,ACES Colombia,14,29,en_route,overload
1996-12-07,CASA/Nurtanio NC-212-A4 Avioca,Indonesia,Dirgantara Air Services,18,31,approach,engine failure
1997-01-07,DHC-6 Twin Otter 300,Samoa,Polynesian Airlines,3,19,en_route,pilot error
1997-01-09,Embraer EMB-120 Brasília,USA,Comair,29,37,approach,atmospheric icing
1997-01-31,Embraer 110P1A Bandeirante,Nigeria,Skypower Express,5,21,approach,pilot error
1997-02-14,Boeing 737-2C3,Brazil,Varig,1,15,landing,low visibility
1997-03-18,Antonov AN-24,Russia,Stavropolskaya Aktsionernaya Avia,50,45,en_route,maintenance error
1997-04-19,British Aerospace ATP,Indonesia,Merpati Nusantara,15,29,approach,pilot error
1997-05-08,Boeing 737-31B,China,China Southern Airlines,35,40,landing,thunderstorm
1997-06-06,Vickers 781D Viscount,DR Congo,Bazair,23,34,en_route,unknown
1997-06-10,Harbin Yunshuji Y-12 II,Mongolia,MIAT Mongolian Airlines,7,23,approach,atc error
1997-07-09,Fokker 100,Brazil,TAM Transportes Aéreos Regionais,1,15,en_route,attempted hijack
1997-07-11,Antonov 24RV,Cuba,Cubana de Aviación,44,43,en_route,mechanical failure
1997-07-17,Fokker F-27 Friendship 600,Indonesia,"Trigana Air Service, operating for Sempati Air",28,36,en_route,engine failure
1997-07-29,BAC One-Eleven 203AE,Nigeria,ADC Airlines,1,15,landing,low visibility
1997-07-30,ATR-42-512,Italy,Air Littoral,1,15,landing,pilot error
1997-08-06,Boeing 747-3B5,Guam,Korean Air,228,85,approach,pilot & crew error
1997-08-10,Dornier 228-212,Taiwan,Formosa Airlines,16,30,approach,low visibility
1997-09-03,Tupolev Tu-134,Cambodia,Vietnam Airlines,65,50,approach,pilot error
1997-09-06,Dornier Du 228,Malaysia,Royal Brunei Airlines,10,26,approach,pilot error
1997-09-12,DHC-6 Twin Otter 300,DR Congo,TMK Air Commuter,19,32,en_route,pilot error
1997-09-26,Airbus A300,Indonesia,Garuda Indonesia,234,86,approach,atc error & bad weather
1997-10-10,Douglas DC-9-32,Argentina,Austral Líneas Aéreas,74,53,en_route,pilot error
1997-12-09,Embraer 110P1 Bandeirante,Canada,Sowind Air,4,20,approach,low visibility
1997-12-13,Swearingen SA226-TC Metro II,Bolivia,"STAP-Serv. y Transportes Aéreos Petroleros, operating for SAVE",10,26,initial_climb,engine failure
1997-12-15,Tupolev 154B-1,UAE,Tajikistan Airlines,85,56,approach,pilot error
1997-12-17,Yakovlev Yak-42,Greece,Aerosvit,70,52,en_route,pilot error
1997-12-19,Boeing 737-36N,Indonesia,SilkAir,104,61,en_route,intentional pilot error
1997-12-28,Boeing 747-122,Pacific ocean,United Airlines,1,15,en_route,pilot error
1998-01-27,Fokker F-27 Friendship 600,Myanmar,Myanma Airways,16,30,takeoff,engine failure
1998-02-02,Douglas DC-9-32,Philippines,Cebu Pacific Air,104,61,en_route,pilot error
1998-02-16,Airbus A300,Taiwan,China Airlines,202,81,approach,pilot & crew error
1998-03-18,Saab 340B,Taiwan,Formosa Airlines,13,28,en_route,pilot & crew error
1998-03-19,Boeing 727-228,Afghanistan,Ariana Afghan Airlines,45,44,en_route,bad weather
1998-03-22,Airbus A320,Philippines,Philippine Airlines,3,19,landing,pilot error
1998-03-28,Antonov 32,Peru,Peruvian AF,22,33,approach,engine failure
1998-04-20,Boeing 727,Colombia,Air France,53,46,en_route,pilot & crew error
1998-05-05,Boeing 737-282,Peru,"Fuerza Aérea del Peru - FAP, operating for Occidental Petroleum",75,53,approach,low visibility
1998-05-26,Harbin Y-12,Mongolia,MIAT Mongolian Airlines,28,36,en_route,overload
1998-06-18,Swearingen SA226-TC Metro II,Canada,Propair,11,27,approach,pilot & crew error
1998-07-27,Consolidated PBY-5A Catalina,UK,Plane Sailing,2,17,landing,maintenance error
1998-07-29,Embraer 110P1 Bandeirante,Brazil,Selva Taxi Aéreo,12,27,en_route,overload
1998-07-30,HAL/Dornier 228-201,India,Alliance Air,9,25,initial_climb,mechanical failure
1998-07-30,Beechcraft 1900D,France,Proteus Air,14,29,approach,pilot error
1998-08-21,DHC-6 Twin Otter 300,Nepal,"Nepalese CAA, operating for Lumbini Airways",18,31,en_route,unknown
1998-08-24,Fokker F-27,Myanmar,Myanma Airways,36,40,approach,pilot error
1998-08-29,Tupolev 154M,Ecuador,Cubana,80,55,takeoff,maintenance error
1998-09-02,Antonov 26B,Angola,"Permtransavia, operating for Prestavia",24,34,en_route,engine failure
1998-09-02,Douglas MD-11,Canada,Swissair,229,86,en_route,design flaw
1998-09-25,BAe 146,Morocco,PauknAir,38,41,approach,pilot error
1998-09-29,Antonov An-24rv,Sri Lanka,Lionair,55,47,en_route,shot down
1998-10-10,Boeing 727-30,DR Congo,Lignes Aériennes Congolaises,41,42,en_route,shot down
1998-11-01,Douglas C-47A-90-DL (DC-3C),Guatemala,Living Water Teaching Ministries,11,27,approach,low visibility
1998-12-11,Airbus A310-324,Thailand,Thai Airways International,101,60,approach,bad weather
1999-02-24,Tupolev Tu-154M,China,China Southwest Airlines,61,49,approach,mechanical failure
1999-02-25,Dornier 328-110,Italy,Minerva Airlines,4,20,landing,bad weather
1999-04-08,DHC-6 Twin Otter 300,Colombia,Aerotaca,5,21,en_route,low visibility
1999-04-07,Boeing 737-400,Turkey,Turkish Airlines,6,22,en_route,bad weather
1999-05-08,DHC-6 Twin Otter 300,Vanuatu,Vanair,7,23,en_route,bad weather
1999-06-01,Douglas Md-82,USA,American Airlines,11,27,landing,pilot & crew error
1999-06-17,Embraer 110P2 Bandeirante,papua New Guinea,Airlink,17,31,en_route,pilot error
1999-07-04,Douglas DC-6A,Colombia,LANC Colombia,4,20,landing,pilot & crew error
1999-07-24,Embraer 110P1 Bandeirante,Fiji,Air Fiji,17,31,en_route,pilot error
1999-08-07,Dornier 228-201,Cape Verde,TACV Cabo Verde Airlines,18,31,en_route,low visibility
1999-08-12,Beechcraft 1900D,Canada,Regionnair,1,15,approach,pilot error
1999-08-22,Douglas MD-11,Hong Kong,China Airlines,3,19,landing,pilot error
1999-08-24,MD-90-30,Taiwan,Uni Air,1,15,landing,passenger error
1999-08-26,Yakovlev 40,Uzbekistan,Uzbekistan Airways,2,17,landing,pilot error
1999-08-31,Boeing 737-204C,Argentina,Líneas Aéreas Privadas Argentinas,65,50,takeoff,pilot & crew error
1999-09-05,British Aerospace BAe-748-501,Nepal,Necon Air,15,29,approach,pilot error
1999-10-31,Boeing 767-366ER,USA,EgyptAir,217,84,en_route,crew error
1999-11-09,Douglas DC-9-31F,Mexico,TAESA Lineas Aéreas,18,31,en_route,pilot & crew error
1999-11-12,ATR-42-312,Serbia,"SiFly, operating for UN",24,34,en_route,pilot & crew error
1999-12-07,Let L-410UVP-E,Philippines,Asian Spirit,17,31,en_route,unknown
1999-12-11,British Aerospace ATP,Portugal,SATA Air Açores,35,40,en_route,low visibility
1999-12-21,Douglas DC-10-30,Guatemala,Cubana de Aviación,18,31,landing,wet runway
1999-12-24,Airbus A300B2-101,Afghanistan,Indian Airlines,1,15,en_route,hostage situation
1999-12-25,Yakovlev 42D,Venezuela,Cubana de Aviación,22,33,approach,pilot error
1999-12-25,DHC-6 Twin Otter 300,Nepal,Skyline Airways,10,26,en_route,unknown
2000-01-05,Embraer 110P1A Bandeirante,Nigeria,Skypower Express,2,17,approach,engine failure
2000-01-10,Saab 340B,Switzerland,Crossair,10,26,en_route,pilot error
2000-01-13,Shorts 360-300,Libya,"Avisto, operating for Sirte Oil Company",22,33,approach,
2000-01-15,Let L-410UVP-E,Costa Rica,TACSA,5,21,en_route,pilot error
2000-01-30,Airbus A310-304,Kenya,Kenya Airways,169,75,take off,pilot error
2000-01-31,MD-83,USA,Alaska Airlines,88,57,en_route,maintenance error
2000-02-08,Embraer 110P2 Bandeirante,Mozambique,Sabin Air,1,15,initial_climb,unknown
2000-03-09,Yakovlev 40D,Russia,Vologoda Air,9,25,initial_climb,bad weather
2000-03-17,DHC-6 Twin Otter 300,Panama,AeroPerlas,10,26,en_route,unknown
2000-03-25,Antonov 32,Angola,Uralex,3,19,takeoff,brake failure
2000-04-19,Boeing 737-2H4,Philippines,Air Philippines,131,67,approach,pilot error
2000-05-17,Beechcraft 1900C-1,Gabon,Avirex,3,19,approach,bad weather
2000-05-21,British Aerospace 3102 Jetstream,USA,East Coast Aviation Services,19,32,approach,pilot error
2000-06-05,Fokker F-27 Friendship 600,Ghana,Ghana Airlink,7,23,landing,pilot error
2000-06-22,Xian Yunshuji Y-7-100C,China,Wuhan Airlines,49,45,approach,bad weather
2000-07-08,British Aerospace 3201 Jetstream,Mexico,Aerocaribe,19,32,en_route,bad weather
2000-07-17,Boeing 737-2A8,India,Alliance Air,60,49,approach,pilot error
2000-07-25,Aérospatiale / BAC Concorde 10,France,Air France,113,63,take off,mechanical failure
2000-07-27,DHC-6 Twin Otter 300,Nepal,Royal Nepal Airlines,25,35,en_route,pilot error
2000-08-12,Antonov 26B,Congo,STAER Airlines,27,36,unknown,unknown
2000-08-23,Airbus A320-212,Bahrain,Gulf Air,143,70,approach,pilot error
2000-09-04,Beechcraft 200 Super King Air,Australia,Central Air,8,24,en_route,mechanical failure
2000-09-27,Boeing 737,China,China Xinhua Airlines,1,15,en_route,hijack
2000-10-19,Harbin Yunshuji Y-12-II,Laos,Lao Aviation,8,24,approach,bad weather
2000-10-31,Boeing 747-412,Taiwan,Singapore Airlines,83,56,take off,crew errors
