rank,title,author,year
343,War of the Worlds,H. G. Wells,1898
344,The Book Thief,Markus Zusak,2005
345,A Death in the Family,James Agee,1957
346,The English Patient,Michael Ondaatje,1992
347,Diary of a Madman and Other Stories,Xun Lu,1918
348,Aesop's Fables,Aesop,-560
349,"So Long, See You Tomorrow",William Maxwell,1981
350,Othello,William Shakespeare,1603
351,Watership Down,Richard Adams,1972
352,Brighton Rock,Graham Greene,1938
353,The Devil to Pay in the Backlands,Joao Guimaraes Rosa,1956
354,The Duino Elegies,Rainer Maria Rilke,1923
355,The Death of Ivan Ilyich,Leo Tolstoy,1886
356,Selected Stories of Alice Munro,Alice Munro,1996
357,Invisible Cities,Italo Calvino,1972
358,A Prayer for Owen Meany,John Irving,1989
359,The Hunchback of Notre-Dame,Victor Hugo,1831
360,Brideshead Revisited,Evelyn Waugh,1945
361,2001: A Space Odyssey,Arthur C. Clarke,1951
362,The Poems of Walt Whitman,Walt Whitman,1892
363,Twice-Told Tales,Nathaniel Hawthorne,1837
364,The Complete Poetry and Essential Prose of John Milton,John Milton,1674
365,The Faerie Queene,Edmund Spenser,1590
366,Death Comes for the Archbishop,Willa Cather,1927
367,A Christmas Carol,Charles Dickens,1843
368,Bastard Out of Carolina,Dorothy Allison,1993
369,Cyrano de Bergerac,Edmond Rostand,1897
370,Loving,Henry Green,1945
371,The Hound of the Baskervilles,Sir Arthur Conan Doyle,1901
372,Tristan,Gottfried von Strassburg,1210
373,The Princess of Cleves,Madame de La Fayette,1678
374,Blindness,Jose Saramago,1998
375,The Killer Angels,Michael Shaara,1974
376,Possession,A.S. Byatt,1990
377,Gypsy Ballads,Federico Garcia Lorca,1928
378,Masnavi,Jalal al-Din Muhammad Rumi,1250
379,Children of Gebelawi,Naguib Mahfouz,1059
380,Njal's Saga,Iceland,1200
381,Forbidden Colours,Yukio Mishima,1951
382,Season of Migration to the North,Al-Tayyib Salih,1966
383,The Sound of the Mountain,Yasunari Kawabata,1970
384,Poems,Paul Celan,2001
385,Bostan, Saadi,1257
386,"The Sea, The Sea",Iris Murdoch,1978
387,Kim,Rudyard Kipling,1901
388,The Odes,Horace,-23
389,Bouvard et Pécuchet,GUSTAVE FLAUBERT,1881
390,The War of the End of the World,Mario Vargas Llosa,1981
391,Crash: A Novel,J. G. Ballard,1973
392,Satanic Verses,Salman Rushdie,1988
393,Watchmen,Alan Moore and Dave Gibbons,1986
394,Middlesex,Jeffrey Eugenides,2002
395,Endgame,Samuel Beckett,1957
396,The Adventures of Tom Sawyer,Mark Twain,1876
397,A Dance to the Music of Time,Anthony Powell,1951
398,A Lost Lady,Willa Cather,1923
399,The Last of the Mohicans,James Fenimore Cooper,1826
400,Barchester Towers,Anthony Trollope,1857
401,Long Day's Journey Into Night,Eugene O'Neill,1956
402,I'm Not Stiller,Max Frisch,1957
403,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1991
404,The Lover,Marguerite Duras,1984
405,The Lady with the Dog,Anton Chekhov,1899
406,Robert Browning's Poetry,Robert Browning,1889
407,The Crying of Lot 49,Thomas Pynchon,1966
408,The Marriage Of Cadmus And Harmony,Roberto Calasso,1988
409,2666,Roberto Bolano,2004
410,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,1962
