rank,title,author,year
335,Systematic Theology,Wolfhart Pannenberg,1988
336,The Campaign of the Marne,Sewell Tyng,1925
337,On Food and Cooking: The Science and Lore of the Kitchen,Harold McGee,1984
338,The Provincial Letters,Blaise Pascal,1656
339,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,1921
340,Insight: A Study of Human Understanding,Bernard Lonergan,1957
341,Correspondence,Voltaire,1778
342,Duke of Deception,Geoffrey Wolff,1979
343,The Works of Max Beerbohm,Max Beerbohm,1896
344,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Michael Azerrad,2001
345,The Americans,Robert Frank,1958
346,Larousse Gastronomique: The World's Greatest Culinary Encyclopedia,Joël Robuchon,2009
347,The Emperor,Ryszard Kapuscinski,1978
348,El Bulli: 1998-2002,"Ferran Adria, Juli Soler, Albert Adria",2002
349,Essential Cuisine,Michel Bras,
350,Hollywood Babylon,Kenneth Anger,1959
351,Philosophical Writings,Novalis,1801
352,Disraeli,Robert Blake,1967
353,Democracy and Leadership,Irving Babbitt,1924
354,Henry James,Leon Edel,1963
355,Pilgrim at Tinker Creek,Annie Dillard,1975
356,The Machiavellians,James Burnham,1943
357,The Principia Mathematica,Alfred North Whitehead and Bertrand Russell,1913
358,Reflections of a Russian Statesman,Konstantin P. Pobedonostsev,1898
359,The Hedgehog and the Fox,Isaiah Berlin,1953
360,The ABC of Reading,Ezra Pound,1934
361,Second World War,John Keegan,1990
362,The Making of Homeric Verse,Milman Parry,1971
363,The Ants,E. O. Wilson and Bert Hölldobler,1990
364,Essays of E. B. White,E. B. White,1977
365,The Strange Ride of Rudyard Kipling,Angus Wilson,1977
366,The Mirror and the Lamp,Meyer Howard Abrams,1953
367,Scrutiny,F. R. Leavis,1947
368,The Edge of the Sword,Charles De Gaulle,1960
369,Narrative of the Life of Frederick Douglass,Frederick Douglass,1845
370, Bureaucracy,Ludwig von Mises,1945
371,Balzac,Stefan Zweig,1946
372,The Art of the Soluble: Creativity and Originality in Science,Peter B. Medawar,1967
373,The Good Society,Walter Lippmann,1937
374,The Christian Tradition,Jaroslav Pelikan,1973
375,Strange Defeat,Marc Bloch,1944
376,Why We Can't Wait,"Martin Luther King, Jr.",1964
377,Looking Back,Norman Douglas,1998
378, Mont-Saint-Michel and Chartres,Henry Adams,1918
379,Poetry and the Age,Randall Jarrell,1953
380,Love in the Western World,Denis de Rougemont,1939
381,Wealth and Poverty,George Gilder,1981
382,Darwin's Black Box,Michael J. Behe,1996
383,The Way the World Works,Jude Wanniski,1978
384,To the Finland Station,Edmund Wilson,1940
385,Civilisation,Kenneth Clark,1969
386,The Russian Revolution,Richard Pipes,1990
387,The Idea of History,R. G. Collingwood,1946
388,The Last Lion,William Manchester,1988
389,The Starr Report,Kenneth W. Starr,1998
390,Encyclopédie,Denis Diderot,1751
391,Guerrilla Warfare,Che Guevara,1961
392,The Story of Art,E. H. Gombrich,1950
393,The Clash of Civilizations,Samuel P. Huntington,1996
394,"The Theory of Economic Development: An Inquiry into Profits, Capital, Credit, Interest, and the Business Cycle",Joseph A. Schumpeter,1911
395,Desert Flower,"Waris Dirie, Cathleen Miller",1998
396,The Meaning of Hitler,Sebastian Haffner,1978
397,The Songlines,Bruce Chatwin,1987
398,My Childhood,Maxim Gorky,1913
399,The Story of Art,Ernst Hans Gombrich,1950
400,An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It,Al Gore,2006
401,The Making of the English Working Class,E. P. Thompson,1963
402,A Theory of Justice,John Rawls,1971
403,Art and Illusion,Ernest H. Gombrich,1960
404,The Year of Magical Thinking,Joan Didion,2005
405,Great Bridge,David McCullough,1972
406,A Heartbreaking Work of Staggering Genius,Dave Eggers,2000
407,Principia Ethica,George Moore,1903
408,The Age of Jackson,"Arthur Schlesinger, Jr.",1945
409,Philosophy and Civilization,John Dewey,1931
410,Freakonomics,Steven D. Levitt and Stephen J. Dubner,2005
411,On Growth and Form,D'Arcy Wentworth Thompson,1917
412,The Looming Tower,Lawrence Wright,2006
413,Truman,David McCullough,1992
414,Ideas and Opinions,Albert Einstein,1954
415,Dreams from My Father,Barack Obama,2004
416,Me Talk Pretty One Day,David Sedaris,2000
417,"Eats, Shoots and Leaves",Lynne Truss,2003
418,This Boy's Life,Tobias Wolff,1989
419,Notes from a Small Island,Bill Bryson,1995
420,Crito,Plato,-399
421,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,
422,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,
423,Phaedo,Plato,-399
424,Euthyphro,Plato,-399
425,The Liars' Club,Mary Karr,1995
426,Bad Science,Ben Goldacre,2008
427,Science and Civilisation in China,Joseph Needham,1954
428,Zeitoun,Dave Eggers,2009
429,London: The Biography,Peter Ackroyd,2000
430,Care of the Soul: Guide for Cultivating Depth and Sacredness,Thomas Moore,1992
431,Meditations on First Philosophy,René Descartes,1641
432,Diaries,Alan Clark,1983
433,The Consolation of Philosophy,Boethius,524
434,Venice,Jan Morris,
435,A History of the World in 100 Objects,Neil MacGregor,
436,Schott's Original Miscellany,Ben Schott,2002
437,The Sickness Unto Death,Søren Kierkegaard,1849
438,A Child Called 'It',Dave Pelzer,1995
439,The Life of Charlotte Brontë,Elizabeth Gaskell,1857
440,The Age of Reason,Thomas Paine,1794
441,Memoirs of a Fox-Hunting Man,Siegfried Sassoon,1928
442,Essays of Henry David Thoreau,Henry David Thoreau,1862
443,The Hare with Amber Eyes: A Family's Century of Art and Loss,Edmund de Waal,2010
444,The Omnivore's Dilemma,Michael Pollan,
445,Wild Swans: Three Daughters of China,Jung Chang,1991
446,Born to Run,Chris McDougall,2009
447,Ain't No Makin' It: Aspirations and Attainment in a Low-income Neighborhood,Jay MacLeod,1987
448,Madame Curie - A Biography by Eve Curie,Eve Curie,2001
449,The Selfish Gene,Richard Dawkins,
450,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,
451,Kama Sutra,Vātsyāyana,200
452,Kitchen Confidential,Anthony Bourdain,
453,Moneyball,Michael M. Lewis,
454,The Death of Woman Wang MMP,Jonathan Spence,1978
455,Farm Hands: Hard Work and Hard Lessons from Western New York Fields,Tom Rivers,
456,Scepticism and Animal Faith,George Santayana,1923
457,The Anglo-Saxon Chronicle,Unknown,875
458,The Origins of the Second World War,A. J. P. Taylor,1961
459,Biographia Literaria,Samuel Taylor Coleridge,1817
460,The Frugal Superpower: America's Global Leadership in a Cash-Strapped Era,Michael Mandelbaum,2010
461,The Beauty Myth,Naomi Wolf,1991
462,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,1985
463,A History of the English-Speaking Peoples,Winston Churchill,1956
464,A Year in Provence,Peter Mayle,1989
465,Catiline Orations,Marcus Tullius Cicero,-63
466,"Why the West Rules - For Now: The Patterns of History, and What They Reveal About the Future",Ian Morris,2010
467,The Devil In The White City,Erik Larson,2003
468,The Private Life of Chairman Mao,Li Zhi-Sui,1994
469,A People's Tragedy,Orlando Figes,1996
470,Staying Power: The History of Black People in Britain,Peter Fryer,1984
471,Areopagitica,John Milton,1644
472,Eating Animals,Jonathan Safran Foer,2009
473,The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,2007
474,A History of the Crusades,Stephen Runciman,1951
475,L'Encyclopédie,Diderot,1751
